,best_score,best_param,train_accuracy,train_sensitivity,train_precision,train_f1_score,test_accuracy,test_sensitivity,test_precision,test_f1_score
LogisticRegression,0.6715390553904657,"{'lr__C': 0.021544346900318832, 'lr__class_weight': 'balanced', 'lr__max_iter': 100, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.7180004657300318,0.6256281407035176,0.5787027255440524,0.6012512347711557,0.719652281900031,0.6374429223744292,0.579734219269103,0.6072205306655067
SupportVectorClassifier,0.6806354754238756,"{'svc__C': 0.01, 'svc__class_weight': 'balanced'}",0.6834588217030195,0.6847875742348104,0.5263342696629213,0.5951955529084773,0.6811549208320398,0.6949771689497717,0.5233837689133425,0.5970969007453903
