,Classifier,cross validation precision,cross validation recall,cross validation f1 score,cross validation accuracy,train precision,train recall,train f1 score,train accuracy,test precision,test recall,test f1 score,test accuracy
0,Gradient Boosting Classifier,0.7178322885767903,0.6466447488584476,0.6802186369894911,0.6960938824259589,0.7548568507157464,0.6745089081772498,0.7124246079613993,0.7277295568752855,0.7310126582278481,0.6328767123287671,0.6784140969162996,0.7
1,Logistic Regression,0.6871037308065138,0.6596587084148728,0.6725279925460251,0.6791906907729177,0.6824245260940791,0.6660575605299224,0.6741417177204947,0.6780493375970763,0.7039159503342884,0.6730593607305936,0.6881419234360411,0.6949771689497717
2,Random Forest,0.6687579731694457,0.6423018917155904,0.6551510874564315,0.6619456853096339,0.9988574040219378,0.9984010963910461,0.9986291980808774,0.9986295111923252,0.6768935762224353,0.6447488584474886,0.6604303086997194,0.6684931506849315
3,Support Vector Classifier,0.5144078842578834,0.8232052185257664,0.6331536705933611,0.5230695962385485,0.5217834766137258,0.817953403380539,0.6371319277644337,0.5341480127912289,0.5149597238204833,0.817351598173516,0.6318390398870455,0.5237442922374429
4,XGBoost,0.684277015696597,0.6285988258317026,0.6551794522934716,0.6691399435156427,0.911802192199847,0.8170397441754226,0.8618238766413685,0.869004111466423,0.6923076923076923,0.6,0.6428571428571429,0.6666666666666666
