,food_name,food_group,food_sub_group,serving_measure,nutrient,Sugar_amount,nutrient_unit
39,"Fish cutlet, Indian style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (95.03g),Sugar,1.14,g
40,Fried breaded squid ring,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,1 portion (82g),Sugar,0.49,g
41,Fried hong kong egg noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (408g),Sugar,0.82,g
42,"Fried vegetarian bee hoon, plain","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (299g),Sugar,14.65,g
43,Glazed doughnut,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (67g),Sugar,9.05,g
44,"Gravy, for Indian rojak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Dessertspoon (8g),Sugar,1.09,g
45,Green bean fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (43g),Sugar,5.98,g
46,Gyoza,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (26g),Sugar,0.28,g
47,Hee keow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (9g),Sugar,0,g
48,Honey dew with sago,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (256g),Sugar,11.01,g
49,Hot plate tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (416g),Sugar,0,g
50,"Indian rojak, tempeh, battered, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (60g),Sugar,0,g
51,Kheema,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (64.58g),Sugar,1.09,g
52,Kheema with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (239g),Sugar,8.6,g
53,Kueh Ongol ubi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (76g),Sugar,10.44,g
54,Kueh makmur,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (11g),Sugar,1.85,g
55,Kueh rose,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (10g),Sugar,2.53,g
56,Lettuce drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (250g),Sugar,22.25,g
57,"Lime, pickled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (300.82g),Sugar,4.03,g
58,Miso soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-rice (11and 1/2 cm) (102g),Sugar,0.4,g
59,"Mooncake, lotus seed paste, with four egg yolks, baked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (208g),Sugar,46.07,g
60,"Octopus ball, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),Sugar,1.71,g
61,Omelette with onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-soup (16 and 1/2 cm) (248g),Sugar,7.69,g
62,"Oyster pancake, foo chow style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (75g),Sugar,0.3,g
63,"Peanut with shell, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (148g),Sugar,0,g
64,"Peas, green, battered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (106g),Sugar,7.47,g
65,"Peas, green, unbattered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (142g),Sugar,3.07,g
66,"Pork, belly, with yam slices, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (149.41g),Sugar,1.82,g
67,"Pork, lean, minced, with salted fish, steamed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (75.43g),Sugar,0.08,g
68,"Pork, with preserved vegetable, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (50.47g),Sugar,1.12,g
69,Rainbow kueh lapis,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (69g),Sugar,6.21,g
70,Rasgulla,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),Sugar,16.85,g
71,Red bean paste mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),Sugar,8.87,g
72,Rempah udang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (56g),Sugar,0,g
73,"Rice, with stewed beef","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (392g),Sugar,2.35,g
74,Salsa dip,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (322g),Sugar,21.57,g
75,Sardine without bones,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (62g),Sugar,0,g
76,Seafood claypot noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (555g),Sugar,0.01,g
77,Sotong sambal,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (219g),Sugar,6.57,g
78,"Soup, fish head","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (625g),Sugar,0,g
79,"Soup, green beans, with coconut milk, malay style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (364.25g),Sugar,23.38,g
80,"Soup, pig's tail","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (463g),Sugar,0,g
81,"Soup, soft tofu, with prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Bowl-soup (16 and 1/2 cm) (312.2g),Sugar,1.59,g
82,"Soya bean milk, with sugar (hawker centre)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (250g),Sugar,19,g
83,Spare rib stock,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (1018g),Sugar,0,g
84,Stir fried asparagus with scallop,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (120g),Sugar,0.9,g
85,"Stir fried cabbage, with fuchok and tang hoon","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (122.3g),Sugar,1.15,g
86,Stir fried chicken with button mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (120.55g),Sugar,1.45,g
87,Stir fried mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (109.34g),Sugar,2.49,g
88,Stir fried tofu with minced pork,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (247.16g),Sugar,1.48,g
89,Sushi roll,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (40g),Sugar,2.06,g
90,"Sushi, california roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (40g),Sugar,1.49,g
91,"Sushi, raw tuna, roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (18g),Sugar,0.19,g
92,"Tangyuen with red bean filling, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (337g),Sugar,36.73,g
93,"Tangyuen with yam paste filling, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (343g),Sugar,18.08,g
94,"Tangyuen, peanut filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (22g),Sugar,5.65,g
95,"Tea, bubble, passion fruit without pearl","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (372g),Sugar,35.34,g
96,"Tea, bubble, red, without pearl","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (360g),Sugar,28.08,g
97,"Tempeh, with sambal, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (62.45g),Sugar,3.88,g
98,Thai chicken feet salad,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (284g),Sugar,23.57,g
99,Thosai masala,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (225g),Sugar,3.15,g
100,Tomato brinjal curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (375g),Sugar,6,g
101,Unagi don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (344g),Sugar,6.19,g
102,Vegetarian brown rice porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (470g),Sugar,0,g
103,Vongole,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (402g),Sugar,4.02,g
104,"Waffles, with red bean filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (131g),Sugar,37.99,g
105,"Water chestnut, with coconut custard topping, dessert","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (55g),Sugar,2.9,g
106,Yakitori chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (47g),Sugar,0.19,g
107,Yakitori chicken ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Stick (60g),Sugar,2.64,g
108,"Yong tau foo, squid roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (10g),Sugar,0.18,g
