,Classifier,cv_precision,cv_recall,cv_f1,cv_accuracy,train_precision,train_recall,train_f1,train_accuracy,test_precision,test_recall,test_f1,test_accuracy
0,Logistic Regression,0.7211121712143016,0.6256352250489237,0.6698483821004877,0.6918681823041759,0.7268163804491413,0.6283691183188671,0.6740169055494304,0.696094106898127,0.5819805194805194,0.6547945205479452,0.6162440911044264,0.722756907792611
1,Random Forest,0.6569337580224619,0.6685740378343118,0.6626721478541132,0.659775562040217,0.9984010963910461,0.9984010963910461,0.9984010963910461,0.9984010963910461,0.49367930805056554,0.6776255707762557,0.5712086220169361,0.6541446755665943
2,Support Vector Classifier,0.7075838962804996,0.6317988258317027,0.6675132703866906,0.685358399244789,0.7476708074534162,0.659890360895386,0.7010434360592089,0.7185929648241206,0.5660079051383399,0.6538812785388128,0.6067796610169491,0.7118907171685812
3,Gradient Boosting Classifier,0.7017720696242419,0.6461915198956295,0.6727703209975191,0.685814563889128,0.7513784461152883,0.6847875742348104,0.7165391969407265,0.7291000456829603,0.5552170601675552,0.6657534246575343,0.6054817275747508,0.7050605402049053
4,XGBoost,0.6598233032714883,0.6441356816699282,0.6518285560596058,0.6560054398139095,0.9853857211308098,0.9394700776610324,0.9618802619270346,0.9627683873915029,0.49480968858131485,0.6529680365296804,0.562992125984252,0.6553865259236262
